index,x,y,z
0,13.199,0.718188,0
1,14.8191,3.47911,0
2,15.02,7.66971,0
3,14.6085,11.3152,0
4,14.4847,13.8797,0
5,14.6753,16.4493,0
6,14.2892,19.2768,0
7,14.0845,22.6909,0
8,13.8214,27.0352,0
9,13.8814,30.6925,0
10,13.2711,34.4655,0
11,12.4986,38.8212,0
12,11.6459,42.9956,0
13,10.9711,46.6962,0
14,10.1123,51.3827,0
15,8.85476,55.6943,0
16,7.85563,60.0787,0
17,6.10112,64.4884,0
18,4.70867,67.4781,0
19,3.32966,70.5714,0
20,2.57535,72.9839,0
21,0.557517,75.4602,0
22,-2.695,75.1332,0
23,-5.86294,74.6574,0
24,-8.20251,74.5194,0
25,-10.9357,74.1638,0
26,-13.4614,75.2605,0
27,-13.9371,77.8941,0
28,15.1716,4.10773,0
29,13.1172,-1.6068,0
30,11.1456,-6.4211,0
31,10.0836,-10.8666,0
32,9.10376,-15.1984,0
33,6.48134,-18.0886,0
34,4.19244,-20.112,0
35,10.776,-0.300198,0
36,8.1342,0.335964,0
37,5.22807,0.678436,0
38,2.51356,1.60268,0
39,3.61644,-22.806,0
40,3.43362,-25.8633,0
41,4.23539,-29.3551,0
42,5.03979,-32.845,0
43,6.71743,-36.0881,0
44,7.45732,-39.5456,0
45,7.50282,-42.9408,0
46,7.25923,-46.9324,0
47,6.49338,-50.8652,0
48,5.41902,-55.5284,0
49,4.03425,-59.8997,0
50,2.59292,-65.9373,0
51,1.65612,-70.682,0
52,2.61514,-74.1515,0
53,3.72785,-77.9744,0
54,3.0655,-80.4839,0
55,2.1752,-82.8879,0
56,-0.00740528,-88.6142,0
57,-1.79579,-93.3533,0
58,1.15679,-85.7203,0
59,-2.54644,-96.8176,0
60,-3.3454,-99.2686,0
61,-4.68513,-102.514,0
62,-1.64909,-70.3989,0
63,-5.00671,-70.3936,0
64,-8.26937,-69.532,0
65,-11.0723,-68.0465,0
66,-14.8295,-67.5534,0
67,-18.3946,-66.4262,0
68,-22.5204,-65.5441,0
69,-27.1312,-64.6929,0
70,-32.3259,-64.5321,0
71,-38.3803,-65.1554,0
72,-35.4283,-64.9887,0
73,-42.7885,-64.592,0
74,-47.3086,-62.3582,0
75,-50.8256,-59.399,0
76,-53.7185,-55.7103,0
77,-56.2302,-51.4295,0
78,-57.5404,-46.6065,0
79,-58.667,-42.4414,0
80,-59.9558,-38.1395,0
81,-60.2018,-33.9063,0
82,-63.398,-30.7173,0
83,-68.5685,-29.4849,0
84,-72.15,-32.7254,0
85,-76.0618,-37.2037,0
86,-79.1285,-42.0814,0
87,-83.8519,-43.7875,0
88,-89.4708,-44.461,0
89,-93.3457,-45.3496,0
90,-96.4334,-46.0177,0
91,-100.171,-45.5519,0
92,-103.992,-44.2553,0
93,-107.447,-43.2861,0
94,-111.08,-42.2687,0
95,-115.13,-41.3156,0
96,-118.134,-40.7306,0
97,-120.788,-40.1391,0
98,-123.933,-39.4145,0
99,-127.14,-38.3408,0
100,-130.19,-38.0447,0
101,-133.945,-37.4925,0
102,-137.01,-38.747,0
103,-138.191,-42.5739,0
104,-139.494,-45.6797,0
105,-140.105,-48.5655,0
106,-140.634,-52.0962,0
107,-141.268,-55.3227,0
108,-141.989,-59.6126,0
109,-142.596,-62.9792,0
110,-143.281,-65.8648,0
111,-135.883,-35.2652,0
112,-135.504,-32.9592,0
113,-134.798,-29.721,0
114,-134.171,-26.8919,0
115,-133.1,-23.827,0
116,-132.764,-20.7546,0
117,-131.326,-17.1098,0
118,-130.424,-14.0042,0
119,-129.615,-10.5439,0
120,-128.148,-7.54,0
121,-128.137,-4.08144,0
122,-129.327,-1.00619,0
123,-127.848,3.05005,0
124,-126.817,6.38039,0
125,-126.357,9.61568,0
126,-124.753,12.9377,0
127,-123.164,15.9099,0
128,-120.321,18.4156,0
129,-118.587,21.722,0
130,-116.708,25.0156,0
131,-114.951,28.1133,0
132,-112.951,31.4917,0
133,-110.428,35.5042,0
134,-108.657,39.5613,0
135,-106.526,42.7565,0
136,-104.865,45.3528,0
137,-103.418,47.5962,0
138,-101.839,49.9382,0
139,-99.7203,53.0882,0
140,-98.0116,55.6287,0
141,-96.2671,58.3192,0
142,-94.3562,60.8727,0
143,-93.0801,63.096,0
144,-91.5945,64.962,0
145,-89.7351,67.3867,0
146,-87.9528,69.6526,0
147,-85.2463,72.0624,0
148,-83.2159,74.6601,0
149,-81.0559,77.136,0
150,-77.9592,80.2869,0
151,-75.1526,82.6805,0
152,-72.3677,85.0269,0
153,-69.2822,87.4691,0
154,-66.626,89.131,0
155,-64.1246,90.956,0
156,-61.0468,91.8084,0
157,-58.2976,89.4003,0
158,-55.901,86.9452,0
159,-53.1342,84.6855,0
160,-50.6629,83.7593,0
161,-48.1617,84.9111,0
162,-46.2016,87.6945,0
163,-86.2537,-44.1124,0
164,0.278736,-72.7798,0
