index,x,y,z
0,-12.2166,74.0729,0
1,-7.77537,74.4699,0
2,-3.80806,75.1464,0
3,0.478943,75.1436,0
4,2.06809,72.7012,0
5,7.76306,56.6295,0
6,10.1585,43.8914,0
7,12.0877,25.5094,0
8,13.9215,17.2829,0
9,14.4752,9.85346,0
10,14.5613,3.76211,0
11,13.2767,-1.32305,0
12,11.1231,-5.38717,0
13,10.2886,-9.97531,0
14,8.80564,-14.3353,0
15,6.19443,-16.9892,0
16,4.24724,-19.8855,0
17,3.47357,-24.501,0
18,2.78545,-29.5421,0
19,2.39505,-34.6152,0
20,4.01554,-38.6495,0
21,6.06559,-41.8046,0
22,6.68979,-45.8524,0
23,5.23188,-52.5347,0
24,3.54589,-61.3172,0
25,1.08548,-69.3256,0
26,-0.641134,-78.4158,0
27,-1.12715,-81.2585,0
28,-4.14772,-89.3269,0
29,-7.25042,-98.5606,0
30,-8.20212,-100.551,0
31,-8.27697,-100.733,0
